Air terjun	Darah biru	Inti sari	Olahraga
Akad nikah	Darah dingin	Jantung hati	Olah rasa
Akal budi	Darah panas	Jantung kota	Olah tubuh
Akhir masa	Darah dinging	Jantung pertahanan	Ongkos jalan
Akil baliq	Darah daging	Jatuh miskin	Orang tua
Ahli bahasa	Dasa domba	Juru batu	Orang gila
Alim ulama	Daya cipta	Juru gambar	Orang muda
Amal ibadah	Daya guna	Juru kunci	Pagi buta
Aman sejahtera	Daya upaya	Juru masak	Padang rumput
Aman sentosa	Dendam kusumat	Juru mudi	Padang pasir
Amal jariah	Doa restu	Juru bayar	Pahit getir
				Kaki Tangan
Amala sholehah	Dendang riang	Kacau balau	Palang pintu
Anak angkat	Dua sejoli	Kalang kabut	Panas hati
Anak tiri	Duka cita	Kota madya	Panas terik
Anak istri	Duka nestapa	Kota mati	Pandan wangi
Anak kapal	Duta besar	kota praja	Panjang lebar
Anak hutan					Panjang tangan
Anak Emas	Empu jari	Kurus kering	Pangkal jalan
Anjing hutan	Empu kunyit	Kuning langsat	Pejam mata
Aneka warna	Empu kaki	Lahir batin	Pecah belah
Angin darat	Fakir miskin	Lagak ragam	Penjuru dunia
Angin ribut	Falsafah negara	Laki bini	Peri laku
Angin sakal	Gaduh riang	Lalat langau	Peri kemanuasiaan
Angin laut	Gagah berani	Lalu lintas	Patah arang
Angkara murka	Gagah perkasa	Lambat laun	Patah tulang
Angkat senjata	Garis besar	Lambung kapal	Putus harapan
Angkat perang	Garis waktu	Lapis baja	Pupuk hijau
Angkatan Udara	Gagap gempita	Lawan kata	Raja dangdut
Angkatan Laut	Gelak tawa	Lintah darat	Raja minyak
Angkatan Darat	Gelap gulita	Lemah lunglai	Riang gembira
Baik budi	Gelap pekat	Letih lesu	Rendah diri
Bala bantuan	Gerak badan	Lidah buaya	Rendah hati
Bambu runcing	Gerak gerik	Lindah darat	Roda kehidupan
Bank tabungan	Gotong royong	Lintas batas	Raut muka
Bantal guling	Gundah gulana	Luar biasa	Sambung nyawa
Banting tulang	Gunung api	Luar dalam	Semak belukar
Benteng keraton	Hak milik	Luluh lantak	Senda gurau
Barat daya	Hak ikhwal	Lurus hati	Senyum simpul
Barat laut	Hamba hukum	Mabuk darat	Serah terima
Basah kuyup	Hamba sahaya	Maha besar	Suami istri
Batang hidung	Hancur lebur	Maha kuasa	Surat kabar
Batang leher	Hancur luluh	Maha esa	Tabah hati
Besar kepala
Bintang kejora	Harga mati	Maha raja	Tahan banting
Bintang berekor	Hari jadi	Main gila	Tahan lapar
Bintang timur	Hari raya	Main mata	Tahun gajah
Bongkar pasang	Harta karun	Makan gaji	Tanah gundul
Buah baju	Hati nurani	Makan hati	Tanah lapang
Buah bibir	Hawa nafsu	Makan minum	Tanda jasa
Buah hati	Hemat cermat	Makan suap	Tutup mata
Buah pinggang	Hilang lenyap	Mana mungkin	Tutur kata
Buah Tangan
Budi pakerti	Hilir mudik	Mala petaka	Uang bangku
Buka kartu	Hina dina	Mara bahaya	Uang gedung
Buka tangan	Hulu sungai	Mana bias	Uang pangkal
Buku tabungan	Hulu balang	Masa bodoh	Uang jalan
Bulan sabit	Hulu hara	Mata angin	Uang kertas
Bumi putera	Hutan berantara	Mata bola	Uang panas
Bunga tanah	Hutan rimba	Mata pisau	Uang saku
Burung hantu	Hutan belukar	Mati kutu	Urat nadi
Buta huruf	Hutang piutang	Merah jambu	Utang piutang
Cakap angin	Ibu jaro	Minta maaf	Wajib belajar
Caci maki	Ibu angkat	Merah putih	Wabah penyakit
				Meja hijau
Campur aduk	Ibu tiri	Meja tulis	Wali kota
Cantik jelita	Ibu negara	Meja makan	Wali murid
Cantik molek	Ibu pertiwi	Muda remaja	Warta berita
Cantik mungil	Ibu suri	Nafsu birahi	Yatim piatu
Cerai berai	Ikat kepala	Nafsu makan	Zaman batu
Cerdas tangkas	Ikat pinggang	Naik banding	Zaman keemasan
Cerdas cendekia	Ibu angkat	Naik daun
